FLOWER_UNIQUE_ID,SITE,SITE_TREATMENT,POT_NUMBER,PLANT_NUMBER,FLOWER_TREATMENT,SEEDS_PRODUCED,PL_INDEX,DATE_PLACED_AT_SITE,DATE_RETURNED,DATE_FLOWER_OPEN_CONFIRMED,DATE_POLLEN_APPLIED,BOTH_FLOWERS_OPEN,NOTES
29,west memorial,treatment,4,3,control,95,1.091954023,6.29.2022,7.7.2022,7.5.2022,,Y,
30,west memorial,treatment,4,3,treatment,87,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
31,west memorial,treatment,4,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
32,west memorial,treatment,4,4,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
33,west memorial,treatment,5,1,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
34,west memorial,treatment,5,1,treatment,,,6.29.2022,7.7.2022,,,N,
35,west memorial,treatment,5,2,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
36,west memorial,treatment,5,2,treatment,,,6.29.2022,7.7.2022,,,N,
37,west memorial,treatment,5,3,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
38,west memorial,treatment,5,3,treatment,,,6.29.2022,7.7.2022,,,N,
39,west memorial,treatment,5,4,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
40,west memorial,treatment,5,4,treatment,,,6.29.2022,7.7.2022,,,N,
41,west memorial,treatment,6,1,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
42,west memorial,treatment,6,1, treatment,69,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
43,west memorial,treatment,6,2,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
44,west memorial,treatment,6,2,treatment,99,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
45,west memorial,treatment,6,3,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
46,west memorial,treatment,6,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
47,west memorial,treatment,6,4,control,99,#DIV/0!,6.29.2022,7.7.2022,,,N,
48,west memorial,treatment,6,4,treatment,,,6.29.2022,7.7.2022,7.5.2022,,N,
49,quilchena,control,7,1,control,113,1.527027027,6.29.2022,7.7.2022,7.5.2022,,Y,
50,quilchena,control,7,1,treatment,74,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
51,quilchena,control,7,2,control,58,0.591836735,6.29.2022,7.7.2022,7.5.2022,,Y,
52,quilchena,control,7,2,treatment,98,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
53,quilchena,control,7,3,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
54,quilchena,control,7,3,treatment,78,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
55,quilchena,control,7,4,control,56,0.823529412,6.29.2022,7.7.2022,,,N,7.5 PARTLY OPEN
56,quilchena,control,7,4,treatment,68,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,N,
57,quilchena,control,8,1,control,79,0.699115044,6.29.2022,7.7.2022,7.1.2022,,Y,
58,quilchena,control,8,1,treatment,113,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
59,quilchena,control,8,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
60,quilchena,control,8,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
61,quilchena,control,8,3,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
62,quilchena,control,8,3,treatment,131,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
63,quilchena,control,8,4,control,43,0.597222222,6.29.2022,7.7.2022,7.1.2022,,Y,
64,quilchena,control,8,4,treatment,72,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
65,quilchena,control,9,1,control,19,0.253333333,6.29.2022,7.7.2022,7.5.2022,,Y,
66,quilchena,control,9,1,treatment,75,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
67,quilchena,control,9,2,control,3,0.125,6.29.2022,7.7.2022,,,N,
68,quilchena,control,9,2,treatment,24,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,N,
69,quilchena,control,9,3,control,,0,6.29.2022,7.7.2022,7.7.2022,,Y,
70,quilchena,control,9,3,treatment,112,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,Y,
71,quilchena,control,9,4,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
72,quilchena,control,9,4,treatment,91,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
73,quilchena,control,10,1,control,14,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
74,quilchena,control,10,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
75,quilchena,control,10,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
76,quilchena,control,10,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
77,quilchena,control,10,3,control,19,#DIV/0!,6.29.2022,7.7.2022,,,N,
78,quilchena,control,10,3,treatment,,,6.29.2022,7.7.2022,,,N,
79,quilchena,control,10,4,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
80,quilchena,control,10,4,treatment,,,6.29.2022,7.7.2022,,,N,
81,quilchena,control,11,1,control,110,0.846153846,6.29.2022,7.7.2022,7.1.2022,,Y,
82,quilchena,control,11,1,treatment,130,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
83,quilchena,control,11,2,control,12,0.098360656,6.29.2022,7.7.2022,7.1.2022,,Y,
84,quilchena,control,11,2,treatment,122,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
85,quilchena,control,11,3,control,,#DIV/0!,6.29.2022,7.7.2022,7.7.2022,,Y,
86,quilchena,control,11,3,treatment,,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
87,quilchena,control,11,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
88,quilchena,control,11,4,treatment,,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,Y,
89,quilchena,control,12,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
90,quilchena,control,12,1,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
91,quilchena,control,12,2,control,15,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
92,quilchena,control,12,2,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
93,quilchena,control,12,3,control,59,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
94,quilchena,control,12,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
95,quilchena,control,12,4,control,23,0.237113402,6.29.2022,7.7.2022,7.1.2022,,Y,
96,quilchena,control,12,4,treatment,97,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
97,balaclava,control,13,1,control,78,#DIV/0!,6.29.2022,7.7.2022,7.7.2022,,Y,
98,balaclava,control,13,1,treatment,,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,Y,
99,balaclava,control,13,2,control,136,1.416666667,6.29.2022,7.7.2022,7.5.2022,,Y,
100,balaclava,control,13,2,treatment,96,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
101,balaclava,control,13,3,control,88,4.4,6.29.2022,7.7.2022,7.7.2022,,Y,
102,balaclava,control,13,3,treatment,20,,6.29.2022,7.7.2022,7.9.2022,7.9.2022,Y,
103,balaclava,control,13,4,control,,#DIV/0!,6.29.2022,7.7.2022,,,N,
104,balaclava,control,13,4,treatment,,,6.29.2022,7.7.2022,7.7.2022,,N,
105,balaclava,control,14,1,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
106,balaclava,control,14,1,treatment,134,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
107,balaclava,control,14,2,control,80,0.740740741,6.29.2022,7.7.2022,7.5.2022,,Y,
108,balaclava,control,14,2,treatment,108,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
109,balaclava,control,14,3,control,104,0.904347826,6.29.2022,7.7.2022,7.1.2022,,Y,
110,balaclava,control,14,3,treatment,115,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
111,balaclava,control,14,4,control,122,1.070175439,6.29.2022,7.7.2022,7.5.2022,,Y,
112,balaclava,control,14,4,treatment,114,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
113,balaclava,control,15,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
114,balaclava,control,15,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
115,balaclava,control,15,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
116,balaclava,control,15,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
117,balaclava,control,15,3,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
118,balaclava,control,15,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
119,balaclava,control,15,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
120,balaclava,control,15,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
121,balaclava,control,16,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
122,balaclava,control,16,1,treatment,,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,Y,
123,balaclava,control,16,2,control,,0,6.29.2022,7.7.2022,,,N,
124,balaclava,control,16,2,treatment,105,,6.29.2022,7.7.2022,,,N,
125,balaclava,control,16,3,control,115,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
126,balaclava,control,16,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
127,balaclava,control,16,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
128,balaclava,control,16,4,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
129,balaclava,control,17,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
130,balaclava,control,17,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
131,balaclava,control,17,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
132,balaclava,control,17,2,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
133,balaclava,control,17,3,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
134,balaclava,control,17,3,treatment,116,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
135,balaclava,control,17,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
136,balaclava,control,17,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
137,balaclava,control,18,1,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
138,balaclava,control,18,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
139,balaclava,control,18,2,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
140,balaclava,control,18,2,treatment,114,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
141,balaclava,control,18,3,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
142,balaclava,control,18,3,treatment,113,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
143,balaclava,control,18,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
144,balaclava,control,18,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
145,prince of wales,treatment,19,1,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
146,prince of wales,treatment,19,1,treatment,73,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
147,prince of wales,treatment,19,2,control,,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
148,prince of wales,treatment,19,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
149,prince of wales,treatment,19,3,control,87,1.208333333,6.29.2022,7.7.2022,7.5.2022,,Y,
150,prince of wales,treatment,19,3,treatment,72,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
151,prince of wales,treatment,19,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
152,prince of wales,treatment,19,4,treatment,,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
153,prince of wales,treatment,20,1,control,87,0.887755102,6.29.2022,7.7.2022,7.5.2022,,Y,
154,prince of wales,treatment,20,1,treatment,98,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
155,prince of wales,treatment,20,2,control,114,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
156,prince of wales,treatment,20,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
157,prince of wales,treatment,20,3,control,42,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
158,prince of wales,treatment,20,3,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
159,prince of wales,treatment,20,4,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
160,prince of wales,treatment,20,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
161,prince of wales,treatment,21,1,control,126,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
162,prince of wales,treatment,21,1,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
163,prince of wales,treatment,21,2,control,,0,6.29.2022,7.7.2022,7.1.2022,,Y,
164,prince of wales,treatment,21,2,treatment,111,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
165,prince of wales,treatment,21,3,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
166,prince of wales,treatment,21,3,treatment,134,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
167,prince of wales,treatment,21,4,control,101,4.04,6.29.2022,7.7.2022,7.1.2022,,Y,
168,prince of wales,treatment,21,4,treatment,25,,6.29.2022,7.7.2022,7.7.2022,7.7.2022,Y,
169,prince of wales,treatment,22,1,control,10,0.15625,6.29.2022,7.7.2022,7.5.2022,,Y,
170,prince of wales,treatment,22,1,treatment,64,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
171,prince of wales,treatment,22,2,control,81,#DIV/0!,6.29.2022,7.7.2022,,,N,
172,prince of wales,treatment,22,2,treatment,,,6.29.2022,7.7.2022,,,N,
173,prince of wales,treatment,22,3,control,44,#DIV/0!,6.29.2022,7.7.2022,,,N,
174,prince of wales,treatment,22,3,treatment,,,6.29.2022,7.7.2022,,,N,
175,prince of wales,treatment,22,4,control,,0,6.29.2022,7.7.2022,,,N,
176,prince of wales,treatment,22,4,treatment,10,,6.29.2022,7.7.2022,,,N,
177,prince of wales,treatment,23,1,control,44,#DIV/0!,6.29.2022,7.7.2022,7.5.2022,,Y,
178,prince of wales,treatment,23,1,treatment,,,6.29.2022,7.7.2022,7.8.2022,7.8.2022,Y,
179,prince of wales,treatment,23,2,control,107,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
180,prince of wales,treatment,23,2,treatment,,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
181,prince of wales,treatment,23,3,control,77,1.069444444,6.29.2022,7.7.2022,7.5.2022,,Y,
182,prince of wales,treatment,23,3,treatment,72,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
183,prince of wales,treatment,23,4,control,13,#DIV/0!,6.29.2022,7.7.2022,,,N,
184,prince of wales,treatment,23,4,treatment,,,6.29.2022,7.7.2022,,,N,
185,prince of wales,treatment,24,1,control,,0,6.29.2022,7.7.2022,7.5.2022,,Y,
186,prince of wales,treatment,24,1,treatment,39,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
187,prince of wales,treatment,24,2,control,84,1.527272727,6.29.2022,7.7.2022,7.1.2022,,Y,
188,prince of wales,treatment,24,2,treatment,55,,6.29.2022,7.7.2022,7.5.2022,7.5.2022,Y,
189,prince of wales,treatment,24,3,control,,#DIV/0!,6.29.2022,7.7.2022,7.1.2022,,Y,
190,prince of wales,treatment,24,3,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,Y,
191,prince of wales,treatment,24,4,control,85,#DIV/0!,6.29.2022,7.7.2022,,,N,
192,prince of wales,treatment,24,4,treatment,,,6.29.2022,7.7.2022,7.1.2022,7.1.2022,N,
193,locarno,treatment,25,1,control,49,0.844827586,6.30.2022,7.7.2022,7.5.2022,,Y,
194,locarno,treatment,25,1,treatment,58,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
195,locarno,treatment,25,2,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
196,locarno,treatment,25,2,treatment,,,6.30.2022,7.7.2022,,,N,
197,locarno,treatment,25,3,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
198,locarno,treatment,25,3,treatment,,,6.30.2022,7.7.2022,,,N,
199,locarno,treatment,25,4,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
200,locarno,treatment,25,4,treatment,,,6.30.2022,7.7.2022,,,N,
201,locarno,treatment,26,1,control,,0,6.30.2022,7.7.2022,,,N,
202,locarno,treatment,26,1,treatment,46,,6.30.2022,7.7.2022,,,N,
203,locarno,treatment,26,2,control,,0,6.30.2022,7.7.2022,,,N,
204,locarno,treatment,26,2,treatment,24,,6.30.2022,7.7.2022,,,N,
205,locarno,treatment,26,3,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
206,locarno,treatment,26,3,treatment,,,6.30.2022,7.7.2022,,,N,
207,locarno,treatment,26,4,control,,#DIV/0!,6.30.2022,7.7.2022,,,N,
208,locarno,treatment,26,4,treatment,,,6.30.2022,7.7.2022,,,N,
209,locarno,treatment,27,1,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
210,locarno,treatment,27,1,treatment,77,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
211,locarno,treatment,27,2,control,6,0.081081081,6.30.2022,7.7.2022,7.5.2022,,Y,
212,locarno,treatment,27,2,treatment,74,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
213,locarno,treatment,27,3,control,100,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
214,locarno,treatment,27,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
215,locarno,treatment,27,4,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
216,locarno,treatment,27,4,treatment,37,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
217,locarno,treatment,28,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
218,locarno,treatment,28,1,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
219,locarno,treatment,28,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
220,locarno,treatment,28,2,treatment,,,6.30.2022,7.7.2022,7.7.2022,7.7.2022,Y,
221,locarno,treatment,28,3,control,102,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
222,locarno,treatment,28,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
223,locarno,treatment,28,4,control,96,1.185185185,6.30.2022,7.7.2022,7.5.2022,,Y,
224,locarno,treatment,28,4,treatment,81,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
225,locarno,treatment,29,1,control,53,0.646341463,6.30.2022,7.7.2022,7.5.2022,,Y,
226,locarno,treatment,29,1,treatment,82,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
227,locarno,treatment,29,2,control,21,0.5,6.30.2022,7.7.2022,7.5.2022,,Y,
228,locarno,treatment,29,2,treatment,42,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
229,locarno,treatment,29,3,control,77,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
230,locarno,treatment,29,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
231,locarno,treatment,29,4,control,66,0.640776699,6.30.2022,7.7.2022,7.5.2022,,Y,
232,locarno,treatment,29,4,treatment,103,,6.30.2022,7.7.2022,7.9.2022,7.9.2022,Y,
233,locarno,treatment,30,1,control,32,0.304761905,6.30.2022,7.7.2022,7.5.2022,,Y,
234,locarno,treatment,30,1,treatment,105,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
235,locarno,treatment,30,2,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
236,locarno,treatment,30,2,treatment,116,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
237,locarno,treatment,30,3,control,108,0.947368421,6.30.2022,7.7.2022,7.5.2022,,Y,
238,locarno,treatment,30,3,treatment,114,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
239,locarno,treatment,30,4,control,97,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
240,locarno,treatment,30,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
241,oak meadows,treatment,31,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
242,oak meadows,treatment,31,1,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
243,oak meadows,treatment,31,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
244,oak meadows,treatment,31,2,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
245,oak meadows,treatment,31,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
246,oak meadows,treatment,31,3,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
247,oak meadows,treatment,31,4,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
248,oak meadows,treatment,31,4,treatment,,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
249,oak meadows,treatment,32,1,control,43,1.023809524,6.30.2022,7.7.2022,7.5.2022,,Y,
250,oak meadows,treatment,32,1,treatment,42,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
251,oak meadows,treatment,32,2,control,81,4.05,6.30.2022,7.7.2022,,,N,
252,oak meadows,treatment,32,2,treatment,20,,6.30.2022,7.7.2022,,,N,
253,oak meadows,treatment,32,3,control,,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
254,oak meadows,treatment,32,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
255,oak meadows,treatment,32,4,control,13,13,6.30.2022,7.7.2022,,,N,
256,oak meadows,treatment,32,4,treatment,1,,6.30.2022,7.7.2022,,,N,
257,oak meadows,treatment,33,1,control,,#DIV/0!,6.30.2022,7.7.2022,7.7.2022,,Y,
258,oak meadows,treatment,33,1,treatment,,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
259,oak meadows,treatment,33,2,control,19,#DIV/0!,6.30.2022,7.7.2022,7.7.2022,,Y,
260,oak meadows,treatment,33,2,treatment,,,6.30.2022,7.7.2022,7.8.2022,7.8.2022,Y,
261,oak meadows,treatment,33,3,control,14,0.583333333,6.30.2022,7.7.2022,,,N,
262,oak meadows,treatment,33,3,treatment,24,,6.30.2022,7.7.2022,,,N,
263,oak meadows,treatment,33,4,control,,0,6.30.2022,7.7.2022,,,N,
264,oak meadows,treatment,33,4,treatment,1,,6.30.2022,7.7.2022,,,N,
265,oak meadows,treatment,34,1,control,,0,6.30.2022,7.7.2022,7.5.2022,,Y,
266,oak meadows,treatment,34,1,treatment,142,,6.30.2022,7.7.2022,7.1.2022,7.1.2022,Y,
267,oak meadows,treatment,34,2,control,,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
268,oak meadows,treatment,34,2,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
269,oak meadows,treatment,34,3,control,127,#DIV/0!,6.30.2022,7.7.2022,7.1.2022,,Y,
270,oak meadows,treatment,34,3,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
271,oak meadows,treatment,34,4,control,82,#DIV/0!,6.30.2022,7.7.2022,7.5.2022,,Y,
272,oak meadows,treatment,34,4,treatment,,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
273,oak meadows,treatment,35,1,control,63,0.583333333,6.30.2022,7.7.2022,7.5.2022,,Y,
274,oak meadows,treatment,35,1,treatment,108,,6.30.2022,7.7.2022,7.5.2022,7.5.2022,Y,
